Ville,latitude,longitude,nb,source
douai,50.37982,3.09888,2000,https://mobilisations-en-france.cgt.fr/news/map
draguignan,43.53146,6.462122,2500,https://mobilisations-en-france.cgt.fr/news/map
evreux,49.020682,1.147024,10000,https://mobilisations-en-france.cgt.fr/news/map
figeac,44.607133,2.026612,3000,https://mobilisations-en-france.cgt.fr/news/map
flers,48.737303,-0.567305,1000,https://mobilisations-en-france.cgt.fr/news/map
foix,42.970036,1.60706,8000,https://mobilisations-en-france.cgt.fr/news/map
fougères,48.353757,-1.195238,600,https://mobilisations-en-france.cgt.fr/news/map
grenoble,45.183471,5.71728,30000,https://mobilisations-en-france.cgt.fr/news/map
guéret,46.171663,1.873994,3500,https://mobilisations-en-france.cgt.fr/news/map
issoudun,46.948958,2.014993,1000,https://mobilisations-en-france.cgt.fr/news/map
l'aigle,48.760274,0.626937,350,https://mobilisations-en-france.cgt.fr/news/map
la roche-sur-yon,46.673263,-1.413319,2500,https://mobilisations-en-france.cgt.fr/news/map
la rochelle,46.157644,-1.177111,10000,https://mobilisations-en-france.cgt.fr/news/map
landerneau,48.451241,-4.261525,300,https://mobilisations-en-france.cgt.fr/news/map
laon,49.572632,3.616277,600,https://mobilisations-en-france.cgt.fr/news/map
le havre,49.502856,0.130359,25000,https://mobilisations-en-france.cgt.fr/news/map
lille,50.630206,3.04584,30000,https://mobilisations-en-france.cgt.fr/news/map
lisieux,49.147566,0.242675,1800,https://mobilisations-en-france.cgt.fr/news/map
lorient,47.750668,-3.379566,10000,https://mobilisations-en-france.cgt.fr/news/map
lyon,45.7685,4.8236,35000,https://mobilisations-en-france.cgt.fr/news/map
manosque,43.834755,5.789047,1500,https://mobilisations-en-france.cgt.fr/news/map
marseille,43.2545,5.3722,150000,https://mobilisations-en-france.cgt.fr/news/map
melun,48.540835,2.655358,900,https://mobilisations-en-france.cgt.fr/news/map
mende,44.526341,3.486646,2000,https://mobilisations-en-france.cgt.fr/news/map
metz,49.108386,6.195982,9000,https://mobilisations-en-france.cgt.fr/news/map
mont-de-marsan,43.892462,-0.50031,4000,https://mobilisations-en-france.cgt.fr/news/map
montauban,44.022237,1.365479,6000,https://mobilisations-en-france.cgt.fr/news/map
montbard,47.640516,4.334403,800,https://mobilisations-en-france.cgt.fr/news/map
montluçon,46.342826,2.605004,3500,https://mobilisations-en-france.cgt.fr/news/map
montpellier,43.611665,3.873083,20000,https://mobilisations-en-france.cgt.fr/news/map
morlaix,48.595806,-3.822029,3500,https://mobilisations-en-france.cgt.fr/news/map
mortagne au perche,48.520579,0.557216,70,https://mobilisations-en-france.cgt.fr/news/map
moulins,46.559076,3.327238,2500,https://mobilisations-en-france.cgt.fr/news/map
muret,43.443252,1.30016,800,https://mobilisations-en-france.cgt.fr/news/map
nancy,48.688135,6.172286,10000,https://mobilisations-en-france.cgt.fr/news/map
nantes,47.238046,-1.552891,25000,https://mobilisations-en-france.cgt.fr/news/map
nevers,46.987575,3.159268,10000,https://mobilisations-en-france.cgt.fr/news/map
nice,43.712855,7.253866,10000,https://mobilisations-en-france.cgt.fr/news/map
nimes,43.826078,4.343556,15000,https://mobilisations-en-france.cgt.fr/news/map
niort,46.328659,-0.469063,8000,https://mobilisations-en-france.cgt.fr/news/map
norbonne,43.172085,3.034084,4300,https://mobilisations-en-france.cgt.fr/news/map
orleans,47.873517,1.911367,10000,https://mobilisations-en-france.cgt.fr/news/map
paris,48.845,2.3752,250000,https://mobilisations-en-france.cgt.fr/news/map
pau,43.314761,-0.34405,13000,https://mobilisations-en-france.cgt.fr/news/map
perigueux,45.193338,0.71097,7000,https://mobilisations-en-france.cgt.fr/news/map
perpignan,42.699556,2.902939,12000,https://mobilisations-en-france.cgt.fr/news/map
poitiers,46.586578,0.370414,15000,https://mobilisations-en-france.cgt.fr/news/map
pontivy,48.064044,-2.969621,1400,https://mobilisations-en-france.cgt.fr/news/map
privas,44.721071,4.59587,15000,https://mobilisations-en-france.cgt.fr/news/map
puy en venay,45.02672,3.89771,8000,https://mobilisations-en-france.cgt.fr/news/map
quimper,47.999079,-4.09364,10000,https://mobilisations-en-france.cgt.fr/news/map
rennes,48.112191,-1.685963,15000,https://mobilisations-en-france.cgt.fr/news/map
roanne,46.043527,4.076508,10000,https://mobilisations-en-france.cgt.fr/news/map
rochefort,45.945648,-0.968014,2500,https://mobilisations-en-france.cgt.fr/news/map
rodez,44.359341,2.567132,7000,https://mobilisations-en-france.cgt.fr/news/map
romorantin,47.359031,1.7404,600,https://mobilisations-en-france.cgt.fr/news/map
rouen,49.440338,1.09146,40000,https://mobilisations-en-france.cgt.fr/news/map
roussillon,45.381431,4.817948,2000,https://mobilisations-en-france.cgt.fr/news/map
saint nazaire,47.27486,-2.243465,10000,https://mobilisations-en-france.cgt.fr/news/map
saint-claude,46.389172,5.866149,500,https://mobilisations-en-france.cgt.fr/news/map
saint-etienne,45.430905,4.369371,22000,https://mobilisations-en-france.cgt.fr/news/map
saint-flour,44.922994,4.855531,300,https://mobilisations-en-france.cgt.fr/news/map
saint-gaudens,43.120831,0.725021,2000,https://mobilisations-en-france.cgt.fr/news/map
saint-lô,49.111649,-1.0813,1300,https://mobilisations-en-france.cgt.fr/news/map
saint-malo,48.64269,-2.008842,1300,https://mobilisations-en-france.cgt.fr/news/map
saintes,45.746428,-0.644427,4500,https://mobilisations-en-france.cgt.fr/news/map
sarlat,44.890429,1.216569,1500,https://mobilisations-en-france.cgt.fr/news/map
saumur,47.264856,-0.084555,900,https://mobilisations-en-france.cgt.fr/news/map
segre,47.68875,-0.866566,300,https://mobilisations-en-france.cgt.fr/news/map
sète,43.395424,3.669946,1500,https://mobilisations-en-france.cgt.fr/news/map
strasbourg,48.571428,7.761454,12300,https://mobilisations-en-france.cgt.fr/news/map
tarbes,43.241056,0.065167,12000,https://mobilisations-en-france.cgt.fr/news/map
thouars,46.974352,-0.242496,1500,https://mobilisations-en-france.cgt.fr/news/map
toulon,43.136247,5.933602,15000,https://mobilisations-en-france.cgt.fr/news/map
toulouse,43.600568,1.433106,100000,https://mobilisations-en-france.cgt.fr/news/map
tours,47.394922,0.699192,15000,https://mobilisations-en-france.cgt.fr/news/map
